year,electorate,party,all,ordinary,special
2008,Ikaroa-Rawhiti,Libertarianz,4,3,1
2008,Ikaroa-Rawhiti,Maori Party,5326,4585,741
2008,Ikaroa-Rawhiti,NZ First,1064,983,81
2008,Ikaroa-Rawhiti,NZ Pacific Party,7,5,2
2008,Ikaroa-Rawhiti,National Party,962,869,93
2008,Ikaroa-Rawhiti,RAM - Residents Action Movement,0,0,0
2008,Ikaroa-Rawhiti,The Bill and Ben Party,68,59,9
2008,Ikaroa-Rawhiti,The Republic of NZ Party,2,2,0
2008,Ikaroa-Rawhiti,United Future,17,14,3
2008,Ikaroa-Rawhiti,Workers Party,16,15,1
2008,Ilam,ACT,1422,1266,156
2008,Ilam,Alliance,35,31,4
2008,Ilam,Aotearoa Legalise Cannabis Party,118,86,32
2008,Ilam,Democrats for Social Credit,6,5,1
2008,Ilam,Family Party,61,47,14
2008,Ilam,Green Party,3034,2546,488
2008,Ilam,Jim Anderton's Progressive,550,482,68
2008,Ilam,Kiwi Party,199,176,23
2008,Ilam,Labour Party,10168,8773,1395
2008,Ilam,Libertarianz,21,18,3
2008,Ilam,Maori Party,195,174,21
2008,Ilam,NZ First,893,806,87
2008,Ilam,NZ Pacific Party,20,13,7
2008,Ilam,National Party,19541,17240,2301
2008,Ilam,RAM - Residents Action Movement,2,0,2
2008,Ilam,The Bill and Ben Party,199,165,34
2008,Ilam,The Republic of NZ Party,3,1,2
2008,Ilam,United Future,516,472,44
2008,Ilam,Workers Party,12,6,6
2008,Invercargill,ACT,947,875,72
2008,Invercargill,Alliance,54,48,6
2008,Invercargill,Aotearoa Legalise Cannabis Party,179,149,30
2008,Invercargill,Democrats for Social Credit,61,58,3
2008,Invercargill,Family Party,145,131,14
2008,Invercargill,Green Party,1492,1323,169
2008,Invercargill,Jim Anderton's Progressive,292,270,22
2008,Invercargill,Kiwi Party,105,92,13
2008,Invercargill,Labour Party,12927,11797,1130
2008,Invercargill,Libertarianz,21,20,1
2008,Invercargill,Maori Party,205,178,27
2008,Invercargill,NZ First,1192,1109,83
2008,Invercargill,NZ Pacific Party,18,17,1
2008,Invercargill,National Party,16663,15156,1507
2008,Invercargill,RAM - Residents Action Movement,1,1,0
2008,Invercargill,The Bill and Ben Party,413,362,51
2008,Invercargill,The Republic of NZ Party,4,1,3
2008,Invercargill,United Future,319,300,19
2008,Invercargill,Workers Party,14,11,3
2008,Kaikoura,ACT,1101,1000,101
2008,Kaikoura,Alliance,21,17,4
2008,Kaikoura,Aotearoa Legalise Cannabis Party,107,83,24
2008,Kaikoura,Democrats for Social Credit,31,30,1
2008,Kaikoura,Family Party,41,36,5
2008,Kaikoura,Green Party,2499,2220,279
2008,Kaikoura,Jim Anderton's Progressive,285,256,29
2008,Kaikoura,Kiwi Party,618,578,40
2008,Kaikoura,Labour Party,10046,9133,913
2008,Kaikoura,Libertarianz,6,6,0
2008,Kaikoura,Maori Party,201,178,23
2008,Kaikoura,NZ First,1631,1501,130
2008,Kaikoura,NZ Pacific Party,6,4,2
2008,Kaikoura,National Party,18479,16698,1781
2008,Kaikoura,RAM - Residents Action Movement,4,3,1
2008,Kaikoura,The Bill and Ben Party,223,194,29
2008,Kaikoura,The Republic of NZ Party,8,4,4
2008,Kaikoura,United Future,331,303,28
2008,Kaikoura,Workers Party,12,11,1
2008,Mana,ACT,819,736,83
2008,Mana,Alliance,17,14,3
2008,Mana,Aotearoa Legalise Cannabis Party,133,105,28
2008,Mana,Democrats for Social Credit,5,4,1
2008,Mana,Family Party,85,70,15
2008,Mana,Green Party,2903,2508,395
2008,Mana,Jim Anderton's Progressive,274,247,27
2008,Mana,Kiwi Party,206,195,11
2008,Mana,Labour Party,15209,13258,1951
2008,Mana,Libertarianz,17,16,1
2008,Mana,Maori Party,356,292,64
2008,Mana,NZ First,1029,936,93
2008,Mana,NZ Pacific Party,189,168,21
2008,Mana,National Party,12701,11482,1219
2008,Mana,RAM - Residents Action Movement,5,5,0
2008,Mana,The Bill and Ben Party,213,175,38
2008,Mana,The Republic of NZ Party,2,2,0
2008,Mana,United Future,458,408,50
2008,Mana,Workers Party,15,12,3
2008,Mangere,ACT,280,251,29
2008,Mangere,Alliance,6,6,0
2008,Mangere,Aotearoa Legalise Cannabis Party,96,77,19
2008,Mangere,Democrats for Social Credit,2,2,0
2008,Mangere,Family Party,297,238,59
2008,Mangere,Green Party,511,450,61
2008,Mangere,Jim Anderton's Progressive,165,133,32
2008,Mangere,Kiwi Party,65,56,9
2008,Mangere,Labour Party,15446,13050,2396
2008,Mangere,Libertarianz,6,4,2
2008,Mangere,Maori Party,241,168,73
2008,Mangere,NZ First,830,767,63
2008,Mangere,NZ Pacific Party,2683,2218,465
2008,Mangere,National Party,4120,3622,498
2008,Mangere,RAM - Residents Action Movement,16,14,2
2008,Mangere,The Bill and Ben Party,75,64,11
2008,Mangere,The Republic of NZ Party,1,1,0
2008,Mangere,United Future,218,189,29
2008,Mangere,Workers Party,16,13,3
2008,Manukau East,ACT,439,393,46
2008,Manukau East,Alliance,9,6,3
2008,Manukau East,Aotearoa Legalise Cannabis Party,94,75,19
2008,Manukau East,Democrats for Social Credit,7,6,1
2008,Manukau East,Family Party,238,201,37
2008,Manukau East,Green Party,487,423,64
2008,Manukau East,Jim Anderton's Progressive,374,335,39
2008,Manukau East,Kiwi Party,102,90,12
2008,Manukau East,Labour Party,16137,13372,2765
2008,Manukau East,Libertarianz,6,6,0
2008,Manukau East,Maori Party,276,195,81
2008,Manukau East,NZ First,999,915,84
2008,Manukau East,NZ Pacific Party,1219,974,245
2008,Manukau East,National Party,6579,5719,860
2008,Manukau East,RAM - Residents Action Movement,9,9,0
2008,Manukau East,The Bill and Ben Party,69,60,9
2008,Manukau East,The Republic of NZ Party,4,4,0
2008,Manukau East,United Future,126,112,14
2008,Manukau East,Workers Party,25,21,4
2008,Manurewa,ACT,633,575,58
2008,Manurewa,Alliance,4,4,0
2008,Manurewa,Aotearoa Legalise Cannabis Party,92,70,22
2008,Manurewa,Democrats for Social Credit,2,1,1
2008,Manurewa,Family Party,193,145,48
2008,Manurewa,Green Party,588,504,84
2008,Manurewa,Jim Anderton's Progressive,276,244,32
2008,Manurewa,Kiwi Party,66,57,9
2008,Manurewa,Labour Party,13673,11289,2384
2008,Manurewa,Libertarianz,7,7,0
2008,Manurewa,Maori Party,331,214,117
2008,Manurewa,NZ First,1187,1060,127
2008,Manurewa,NZ Pacific Party,909,688,221
2008,Manurewa,National Party,7941,6955,986
2008,Manurewa,RAM - Residents Action Movement,7,5,2
2008,Manurewa,The Bill and Ben Party,90,71,19
2008,Manurewa,The Republic of NZ Party,5,5,0
2008,Manurewa,United Future,170,152,18
2008,Manurewa,Workers Party,7,6,1
2008,Maungakiekie,ACT,1589,1381,208
2008,Maungakiekie,Alliance,17,15,2
2008,Maungakiekie,Aotearoa Legalise Cannabis Party,104,77,27
2008,Maungakiekie,Democrats for Social Credit,4,3,1
2008,Maungakiekie,Family Party,132,96,36
2008,Maungakiekie,Green Party,1921,1613,308
2008,Maungakiekie,Jim Anderton's Progressive,334,300,34
2008,Maungakiekie,Kiwi Party,113,96,17
2008,Maungakiekie,Labour Party,13873,11551,2322
2008,Maungakiekie,Libertarianz,30,26,4
2008,Maungakiekie,Maori Party,239,166,73
2008,Maungakiekie,NZ First,1035,913,122
2008,Maungakiekie,NZ Pacific Party,229,177,52
2008,Maungakiekie,National Party,14903,12667,2236
2008,Maungakiekie,RAM - Residents Action Movement,21,18,3
2008,Maungakiekie,The Bill and Ben Party,126,103,23
2008,Maungakiekie,The Republic of NZ Party,3,3,0
2008,Maungakiekie,United Future,397,356,41
2008,Maungakiekie,Workers Party,11,9,2
2008,Mt Albert,ACT,1227,1056,171
2008,Mt Albert,Alliance,19,16,3
2008,Mt Albert,Aotearoa Legalise Cannabis Party,101,73,28
2008,Mt Albert,Democrats for Social Credit,7,6,1
2008,Mt Albert,Family Party,92,69,23
2008,Mt Albert,Green Party,3846,3068,778
2008,Mt Albert,Jim Anderton's Progressive,244,213,31
2008,Mt Albert,Kiwi Party,157,129,28
2008,Mt Albert,Labour Party,14894,12312,2582
2008,Mt Albert,Libertarianz,16,13,3
2008,Mt Albert,Maori Party,273,177,96
2008,Mt Albert,NZ First,936,816,120
2008,Mt Albert,NZ Pacific Party,273,226,47
2008,Mt Albert,National Party,12468,10537,1931
2008,Mt Albert,RAM - Residents Action Movement,19,15,4
2008,Mt Albert,The Bill and Ben Party,132,102,30
2008,Mt Albert,The Republic of NZ Party,16,15,1
2008,Mt Albert,United Future,232,202,30
2008,Mt Albert,Workers Party,11,6,5
2008,Mt Roskill,ACT,1165,1046,119
2008,Mt Roskill,Alliance,23,17,6
2008,Mt Roskill,Aotearoa Legalise Cannabis Party,90,62,28
2008,Mt Roskill,Democrats for Social Credit,7,6,1
2008,Mt Roskill,Family Party,119,105,14
2008,Mt Roskill,Green Party,1459,1196,263
2008,Mt Roskill,Jim Anderton's Progressive,281,240,41
2008,Mt Roskill,Kiwi Party,198,162,36
2008,Mt Roskill,Labour Party,14533,12312,2221
2008,Mt Roskill,Libertarianz,8,8,0
2008,Mt Roskill,Maori Party,163,124,39
2008,Mt Roskill,NZ First,955,846,109
2008,Mt Roskill,NZ Pacific Party,302,247,55
2008,Mt Roskill,National Party,14346,12511,1835
2008,Mt Roskill,RAM - Residents Action Movement,16,13,3
2008,Mt Roskill,The Bill and Ben Party,104,86,18
2008,Mt Roskill,The Republic of NZ Party,8,4,4
2008,Mt Roskill,United Future,296,277,19
2008,Mt Roskill,Workers Party,12,11,1
2008,Napier,ACT,1296,1194,102
2008,Napier,Alliance,47,42,5
2008,Napier,Aotearoa Legalise Cannabis Party,132,101,31
2008,Napier,Democrats for Social Credit,8,8,0
2008,Napier,Family Party,67,59,8
2008,Napier,Green Party,1969,1723,246
2008,Napier,Jim Anderton's Progressive,269,249,20
2008,Napier,Kiwi Party,212,201,11
2008,Napier,Labour Party,12621,11370,1251
2008,Napier,Libertarianz,14,14,0
2008,Napier,Maori Party,272,227,45
2008,Napier,NZ First,1314,1220,94
2008,Napier,NZ Pacific Party,43,35,8
2008,Napier,National Party,16772,15263,1509
2008,Napier,RAM - Residents Action Movement,7,6,1
2008,Napier,The Bill and Ben Party,207,179,28
2008,Napier,The Republic of NZ Party,5,4,1
2008,Napier,United Future,213,199,14
2008,Napier,Workers Party,18,18,0
2008,Nelson,ACT,900,816,84
2008,Nelson,Alliance,42,39,3
2008,Nelson,Aotearoa Legalise Cannabis Party,144,111,33
2008,Nelson,Democrats for Social Credit,24,21,3
2008,Nelson,Family Party,160,143,17
2008,Nelson,Green Party,3417,2920,497
2008,Nelson,Jim Anderton's Progressive,282,255,27
2008,Nelson,Kiwi Party,256,228,28
2008,Nelson,Labour Party,13689,12195,1494
2008,Nelson,Libertarianz,12,12,0
2008,Nelson,Maori Party,184,156,28
2008,Nelson,NZ First,1104,1011,93
2008,Nelson,NZ Pacific Party,11,6,5
2008,Nelson,National Party,15378,13829,1549
2008,Nelson,RAM - Residents Action Movement,3,2,1
2008,Nelson,The Bill and Ben Party,209,180,29
2008,Nelson,The Republic of NZ Party,5,2,3
2008,Nelson,United Future,387,360,27
2008,Nelson,Workers Party,13,10,3
2008,New Lynn,ACT,1306,1175,131
2008,New Lynn,Alliance,23,19,4
2008,New Lynn,Aotearoa Legalise Cannabis Party,121,93,28
2008,New Lynn,Democrats for Social Credit,7,4,3
2008,New Lynn,Family Party,91,77,14
2008,New Lynn,Green Party,2684,2259,425
2008,New Lynn,Jim Anderton's Progressive,318,285,33
2008,New Lynn,Kiwi Party,146,124,22
2008,New Lynn,Labour Party,14165,11919,2246
2008,New Lynn,Libertarianz,14,10,4
2008,New Lynn,Maori Party,246,179,67
2008,New Lynn,NZ First,1253,1115,138
2008,New Lynn,NZ Pacific Party,226,183,43
2008,New Lynn,National Party,14105,12324,1781
2008,New Lynn,RAM - Residents Action Movement,8,7,1
2008,New Lynn,The Bill and Ben Party,154,122,32
2008,New Lynn,The Republic of NZ Party,3,3,0
2008,New Lynn,United Future,296,274,22
2008,New Lynn,Workers Party,13,11,2
2008,New Plymouth,ACT,1106,1037,69
2008,New Plymouth,Alliance,31,28,3
2008,New Plymouth,Aotearoa Legalise Cannabis Party,166,145,21
2008,New Plymouth,Democrats for Social Credit,43,42,1
2008,New Plymouth,Family Party,141,127,14
2008,New Plymouth,Green Party,2230,1964,266
2008,New Plymouth,Jim Anderton's Progressive,232,209,23
2008,New Plymouth,Kiwi Party,78,72,6
2008,New Plymouth,Labour Party,10901,9881,1020
2008,New Plymouth,Libertarianz,27,21,6
2008,New Plymouth,Maori Party,260,238,22
2008,New Plymouth,NZ First,1404,1323,81
2008,New Plymouth,NZ Pacific Party,23,20,3
2008,New Plymouth,National Party,17512,16097,1415
2008,New Plymouth,RAM - Residents Action Movement,2,2,0
2008,New Plymouth,The Bill and Ben Party,301,260,41
2008,New Plymouth,The Republic of NZ Party,2,2,0
2008,New Plymouth,United Future,227,207,20
2008,New Plymouth,Workers Party,13,13,0
2008,North Shore,ACT,2927,2714,213
2008,North Shore,Alliance,24,17,7
2008,North Shore,Aotearoa Legalise Cannabis Party,104,78,26
2008,North Shore,Democrats for Social Credit,9,6,3
2008,North Shore,Family Party,176,157,19
2008,North Shore,Green Party,2590,2203,387
2008,North Shore,Jim Anderton's Progressive,165,155,10
2008,North Shore,Kiwi Party,83,79,4
2008,North Shore,Labour Party,8381,7286,1095
2008,North Shore,Libertarianz,33,25,8
2008,North Shore,Maori Party,234,187,47
2008,North Shore,NZ First,1149,1042,107
2008,North Shore,NZ Pacific Party,13,10,3
2008,North Shore,National Party,22738,20015,2723
2008,North Shore,RAM - Residents Action Movement,13,8,5
2008,North Shore,The Bill and Ben Party,139,109,30
2008,North Shore,The Republic of NZ Party,4,4,0
2008,North Shore,United Future,370,335,35
2008,North Shore,Workers Party,10,5,5
2008,Northcote,ACT,1877,1707,170
2008,Northcote,Alliance,8,7,1
2008,Northcote,Aotearoa Legalise Cannabis Party,138,105,33
2008,Northcote,Democrats for Social Credit,13,10,3
2008,Northcote,Family Party,148,127,21
2008,Northcote,Green Party,2368,2023,345
2008,Northcote,Jim Anderton's Progressive,299,287,12
2008,Northcote,Kiwi Party,182,155,27
2008,Northcote,Labour Party,10517,9223,1294
2008,Northcote,Libertarianz,37,31,6
2008,Northcote,Maori Party,227,182,45
2008,Northcote,NZ First,1118,1031,87
2008,Northcote,NZ Pacific Party,72,61,11
2008,Northcote,National Party,17827,15763,2064
2008,Northcote,RAM - Residents Action Movement,9,9,0
2008,Northcote,The Bill and Ben Party,159,130,29
2008,Northcote,The Republic of NZ Party,6,6,0
2008,Northcote,United Future,348,323,25
2008,Northcote,Workers Party,9,8,1
2008,Northland,ACT,1443,1343,100
2008,Northland,Alliance,28,26,2
2008,Northland,Aotearoa Legalise Cannabis Party,144,116,28
2008,Northland,Democrats for Social Credit,48,43,5
2008,Northland,Family Party,162,145,17
2008,Northland,Green Party,2514,2170,344
2008,Northland,Jim Anderton's Progressive,258,240,18
2008,Northland,Kiwi Party,216,199,17
2008,Northland,Labour Party,8573,7616,957
2008,Northland,Libertarianz,25,20,5
2008,Northland,Maori Party,507,435,72
2008,Northland,NZ First,2194,2027,167
2008,Northland,NZ Pacific Party,17,16,1
2008,Northland,National Party,17703,16242,1461
2008,Northland,RAM - Residents Action Movement,6,3,3
2008,Northland,The Bill and Ben Party,153,130,23
2008,Northland,The Republic of NZ Party,5,4,1
2008,Northland,United Future,228,200,28
2008,Northland,Workers Party,16,14,2
2008,Ohariu,ACT,1304,1192,112
2008,Ohariu,Alliance,55,50,5
2008,Ohariu,Aotearoa Legalise Cannabis Party,119,95,24
2008,Ohariu,Democrats for Social Credit,9,8,1
2008,Ohariu,Family Party,65,49,16
2008,Ohariu,Green Party,3488,3003,485
2008,Ohariu,Jim Anderton's Progressive,273,240,33
2008,Ohariu,Kiwi Party,283,257,26
2008,Ohariu,Labour Party,12728,11114,1614
2008,Ohariu,Libertarianz,20,16,4
2008,Ohariu,Maori Party,278,225,53
2008,Ohariu,NZ First,798,724,74
2008,Ohariu,NZ Pacific Party,22,19,3
2008,Ohariu,National Party,17670,15629,2041
2008,Ohariu,RAM - Residents Action Movement,7,7,0
2008,Ohariu,The Bill and Ben Party,208,172,36
2008,Ohariu,The Republic of NZ Party,7,7,0
2008,Ohariu,United Future,843,778,65
2008,Ohariu,Workers Party,11,9,2
2008,Otaki,ACT,1014,952,62
2008,Otaki,Alliance,28,24,4
2008,Otaki,Aotearoa Legalise Cannabis Party,115,101,14
2008,Otaki,Democrats for Social Credit,10,9,1
2008,Otaki,Family Party,84,65,19
2008,Otaki,Green Party,2207,1933,274
2008,Otaki,Jim Anderton's Progressive,453,420,33
2008,Otaki,Kiwi Party,165,152,13
2008,Otaki,Labour Party,14472,12866,1606
2008,Otaki,Libertarianz,12,9,3
2008,Otaki,Maori Party,321,275,46
2008,Otaki,NZ First,2153,1966,187
2008,Otaki,NZ Pacific Party,9,8,1
2008,Otaki,National Party,17534,15891,1643
2008,Otaki,RAM - Residents Action Movement,0,0,0
2008,Otaki,The Bill and Ben Party,177,150,27
2008,Otaki,The Republic of NZ Party,5,4,1
2008,Otaki,United Future,397,360,37
2008,Otaki,Workers Party,6,3,3
2008,Pakuranga,ACT,2541,2351,190
2008,Pakuranga,Alliance,15,13,2
2008,Pakuranga,Aotearoa Legalise Cannabis Party,79,64,15
2008,Pakuranga,Democrats for Social Credit,4,3,1
2008,Pakuranga,Family Party,186,161,25
2008,Pakuranga,Green Party,1273,1083,190
2008,Pakuranga,Jim Anderton's Progressive,265,232,33
2008,Pakuranga,Kiwi Party,123,114,9
2008,Pakuranga,Labour Party,7872,6979,893
2008,Pakuranga,Libertarianz,13,11,2
2008,Pakuranga,Maori Party,106,85,21
2008,Pakuranga,NZ First,1231,1113,118
2008,Pakuranga,NZ Pacific Party,38,33,5
2008,Pakuranga,National Party,21099,18924,2175
2008,Pakuranga,RAM - Residents Action Movement,6,6,0
2008,Pakuranga,The Bill and Ben Party,137,106,31
2008,Pakuranga,The Republic of NZ Party,4,3,1
2008,Pakuranga,United Future,338,314,24
2008,Pakuranga,Workers Party,12,10,2
2008,Palmerston North,ACT,948,852,96
2008,Palmerston North,Alliance,16,14,2
2008,Palmerston North,Aotearoa Legalise Cannabis Party,139,113,26
2008,Palmerston North,Democrats for Social Credit,6,6,0
2008,Palmerston North,Family Party,89,70,19
2008,Palmerston North,Green Party,2258,1971,287
2008,Palmerston North,Jim Anderton's Progressive,408,372,36
2008,Palmerston North,Kiwi Party,117,109,8
2008,Palmerston North,Labour Party,14108,12554,1554
2008,Palmerston North,Libertarianz,16,15,1
2008,Palmerston North,Maori Party,247,211,36
2008,Palmerston North,NZ First,1404,1275,129
2008,Palmerston North,NZ Pacific Party,37,30,7
2008,Palmerston North,National Party,14103,12639,1464
2008,Palmerston North,RAM - Residents Action Movement,2,1,1
2008,Palmerston North,The Bill and Ben Party,338,292,46
2008,Palmerston North,The Republic of NZ Party,4,3,1
2008,Palmerston North,United Future,430,390,40
2008,Palmerston North,Workers Party,12,12,0
2008,Papakura,ACT,1967,1796,171
2008,Papakura,Alliance,18,14,4
2008,Papakura,Aotearoa Legalise Cannabis Party,124,100,24
2008,Papakura,Democrats for Social Credit,5,5,0
2008,Papakura,Family Party,143,119,24
2008,Papakura,Green Party,961,811,150
2008,Papakura,Jim Anderton's Progressive,254,221,33
2008,Papakura,Kiwi Party,76,70,6
2008,Papakura,Labour Party,9493,7898,1595
2008,Papakura,Libertarianz,8,6,2
2008,Papakura,Maori Party,300,217,83
2008,Papakura,NZ First,1643,1414,229
2008,Papakura,NZ Pacific Party,247,156,91
2008,Papakura,National Party,16672,14700,1972
2008,Papakura,RAM - Residents Action Movement,14,14,0
2008,Papakura,The Bill and Ben Party,177,149,28
2008,Papakura,The Republic of NZ Party,3,2,1
2008,Papakura,United Future,269,253,16
2008,Papakura,Workers Party,9,7,2
2008,Port Hills,ACT,868,762,106
2008,Port Hills,Alliance,51,44,7
2008,Port Hills,Aotearoa Legalise Cannabis Party,155,123,32
2008,Port Hills,Democrats for Social Credit,14,13,1
2008,Port Hills,Family Party,49,38,11
2008,Port Hills,Green Party,5051,4383,668
2008,Port Hills,Jim Anderton's Progressive,958,849,109
2008,Port Hills,Kiwi Party,285,253,32
2008,Port Hills,Labour Party,13614,11651,1963
2008,Port Hills,Libertarianz,17,15,2
2008,Port Hills,Maori Party,250,203,47
2008,Port Hills,NZ First,1009,912,97
2008,Port Hills,NZ Pacific Party,23,20,3
2008,Port Hills,National Party,13816,12083,1733
2008,Port Hills,RAM - Residents Action Movement,2,2,0
2008,Port Hills,The Bill and Ben Party,152,125,27
2008,Port Hills,The Republic of NZ Party,4,3,1
2008,Port Hills,United Future,326,298,28
2008,Port Hills,Workers Party,19,16,3
2008,Rangitata,ACT,1431,1327,104
2008,Rangitata,Alliance,42,41,1
2008,Rangitata,Aotearoa Legalise Cannabis Party,204,168,36
2008,Rangitata,Democrats for Social Credit,12,11,1
2008,Rangitata,Family Party,54,46,8
2008,Rangitata,Green Party,1597,1414,183
2008,Rangitata,Jim Anderton's Progressive,329,315,14
2008,Rangitata,Kiwi Party,378,351,27
2008,Rangitata,Labour Party,13230,12104,1126
2008,Rangitata,Libertarianz,8,7,1
2008,Rangitata,Maori Party,118,103,15
2008,Rangitata,NZ First,1431,1343,88
2008,Rangitata,NZ Pacific Party,7,6,1
2008,Rangitata,National Party,18441,16923,1518
2008,Rangitata,RAM - Residents Action Movement,3,3,0
2008,Rangitata,The Bill and Ben Party,333,297,36
2008,Rangitata,The Republic of NZ Party,5,4,1
2008,Rangitata,United Future,329,311,18
2008,Rangitata,Workers Party,16,14,2
2008,Rangitikei,ACT,1448,1345,103
2008,Rangitikei,Alliance,33,29,4
2008,Rangitikei,Aotearoa Legalise Cannabis Party,135,102,33
2008,Rangitikei,Democrats for Social Credit,18,17,1
2008,Rangitikei,Family Party,80,64,16
2008,Rangitikei,Green Party,1836,1586,250
2008,Rangitikei,Jim Anderton's Progressive,309,293,16
2008,Rangitikei,Kiwi Party,132,118,14
2008,Rangitikei,Labour Party,9298,8340,958
2008,Rangitikei,Libertarianz,22,18,4
2008,Rangitikei,Maori Party,307,251,56
2008,Rangitikei,NZ First,1719,1569,150
2008,Rangitikei,NZ Pacific Party,17,11,6
2008,Rangitikei,National Party,17711,15951,1760
2008,Rangitikei,RAM - Residents Action Movement,2,2,0
2008,Rangitikei,The Bill and Ben Party,291,226,65
2008,Rangitikei,The Republic of NZ Party,2,2,0
2008,Rangitikei,United Future,388,359,29
2008,Rangitikei,Workers Party,20,12,8
2008,Rimutaka,ACT,909,843,66
2008,Rimutaka,Alliance,28,25,3
2008,Rimutaka,Aotearoa Legalise Cannabis Party,122,103,19
2008,Rimutaka,Democrats for Social Credit,8,8,0
2008,Rimutaka,Family Party,85,72,13
2008,Rimutaka,Green Party,2107,1828,279
2008,Rimutaka,Jim Anderton's Progressive,345,315,30
2008,Rimutaka,Kiwi Party,242,226,16
2008,Rimutaka,Labour Party,14685,13077,1608
2008,Rimutaka,Libertarianz,13,11,2
2008,Rimutaka,Maori Party,260,203,57
2008,Rimutaka,NZ First,1453,1304,149
2008,Rimutaka,NZ Pacific Party,57,47,10
2008,Rimutaka,National Party,14452,13075,1377
2008,Rimutaka,RAM - Residents Action Movement,4,3,1
2008,Rimutaka,The Bill and Ben Party,255,214,41
2008,Rimutaka,The Republic of NZ Party,7,4,3
2008,Rimutaka,United Future,499,468,31
2008,Rimutaka,Workers Party,18,15,3
2008,Rodney,ACT,2496,2299,197
2008,Rodney,Alliance,24,21,3
2008,Rodney,Aotearoa Legalise Cannabis Party,136,106,30
2008,Rodney,Democrats for Social Credit,9,7,2
2008,Rodney,Family Party,226,199,27
2008,Rodney,Green Party,1969,1742,227
2008,Rodney,Jim Anderton's Progressive,197,178,19
2008,Rodney,Kiwi Party,327,298,29
2008,Rodney,Labour Party,7842,6863,979
2008,Rodney,Libertarianz,11,9,2
2008,Rodney,Maori Party,182,150,32
2008,Rodney,NZ First,1722,1524,198
2008,Rodney,NZ Pacific Party,5,3,2
2008,Rodney,National Party,22441,20072,2369
2008,Rodney,RAM - Residents Action Movement,5,3,2
2008,Rodney,The Bill and Ben Party,150,122,28
2008,Rodney,The Republic of NZ Party,4,4,0
2008,Rodney,United Future,288,262,26
2008,Rodney,Workers Party,8,6,2
2008,Rongotai,ACT,758,659,99
2008,Rongotai,Alliance,37,34,3
2008,Rongotai,Aotearoa Legalise Cannabis Party,158,124,34
2008,Rongotai,Democrats for Social Credit,4,4,0
2008,Rongotai,Family Party,53,47,6
2008,Rongotai,Green Party,6464,5380,1084
2008,Rongotai,Jim Anderton's Progressive,291,261,30
2008,Rongotai,Kiwi Party,169,155,14
2008,Rongotai,Labour Party,16263,13788,2475
2008,Rongotai,Libertarianz,34,28,6
2008,Rongotai,Maori Party,351,266,85
2008,Rongotai,NZ First,960,864,96
2008,Rongotai,NZ Pacific Party,48,42,6
2008,Rongotai,National Party,11950,10225,1725
2008,Rongotai,RAM - Residents Action Movement,4,3,1
2008,Rongotai,The Bill and Ben Party,188,141,47
2008,Rongotai,The Republic of NZ Party,6,3,3
2008,Rongotai,United Future,326,281,45
2008,Rongotai,Workers Party,33,27,6
2008,Rotorua,ACT,879,826,53
2008,Rotorua,Alliance,33,29,4
2008,Rotorua,Aotearoa Legalise Cannabis Party,147,116,31
2008,Rotorua,Democrats for Social Credit,7,7,0
2008,Rotorua,Family Party,193,170,23
2008,Rotorua,Green Party,1666,1445,221
2008,Rotorua,Jim Anderton's Progressive,200,186,14
2008,Rotorua,Kiwi Party,183,165,18
2008,Rotorua,Labour Party,10044,8958,1086
2008,Rotorua,Libertarianz,15,14,1
2008,Rotorua,Maori Party,596,516,80
2008,Rotorua,NZ First,2122,1967,155
2008,Rotorua,NZ Pacific Party,13,11,2
2008,Rotorua,National Party,16836,15361,1475
2008,Rotorua,RAM - Residents Action Movement,24,21,3
2008,Rotorua,The Bill and Ben Party,186,153,33
2008,Rotorua,The Republic of NZ Party,4,4,0
2008,Rotorua,United Future,282,251,31
2008,Rotorua,Workers Party,8,6,2
2008,Selwyn,ACT,1350,1243,107
2008,Selwyn,Alliance,17,15,2
2008,Selwyn,Aotearoa Legalise Cannabis Party,97,75,22
2008,Selwyn,Democrats for Social Credit,7,7,0
2008,Selwyn,Family Party,141,125,16
2008,Selwyn,Green Party,2761,2399,362
2008,Selwyn,Jim Anderton's Progressive,672,635,37
2008,Selwyn,Kiwi Party,191,172,19
2008,Selwyn,Labour Party,9395,8474,921
2008,Selwyn,Libertarianz,8,7,1
2008,Selwyn,Maori Party,151,127,24
2008,Selwyn,NZ First,1115,1036,79
2008,Selwyn,NZ Pacific Party,2,2,0
2008,Selwyn,National Party,20141,18247,1894
2008,Selwyn,RAM - Residents Action Movement,3,3,0
2008,Selwyn,The Bill and Ben Party,201,171,30
2008,Selwyn,The Republic of NZ Party,1,1,0
2008,Selwyn,United Future,421,380,41
2008,Selwyn,Workers Party,5,3,2
2008,Tamaki,ACT,3053,2757,296
2008,Tamaki,Alliance,7,4,3
2008,Tamaki,Aotearoa Legalise Cannabis Party,65,45,20
2008,Tamaki,Democrats for Social Credit,3,2,1
2008,Tamaki,Family Party,46,39,7
2008,Tamaki,Green Party,2040,1672,368
2008,Tamaki,Jim Anderton's Progressive,188,165,23
2008,Tamaki,Kiwi Party,79,68,11
2008,Tamaki,Labour Party,8152,6752,1400
2008,Tamaki,Libertarianz,20,15,5
2008,Tamaki,Maori Party,201,158,43
2008,Tamaki,NZ First,954,847,107
2008,Tamaki,NZ Pacific Party,98,80,18
