year,electorate,party,ordinary_special,before_onday,local_overseas,votes
2014,Botany,Democrats for Social Credit,special,normal,local,0
2014,Botany,Democrats for Social Credit,special,advanced,overseas,0
2014,Botany,Focus NZ,ordinary,normal,local,4
2014,Botany,Focus NZ,ordinary,advanced,local,0
2014,Botany,Focus NZ,special,advanced,local,0
2014,Botany,Focus NZ,special,normal,local,2
2014,Botany,Focus NZ,special,advanced,overseas,0
2014,Botany,Green Party,ordinary,normal,local,891
2014,Botany,Green Party,ordinary,advanced,local,322
2014,Botany,Green Party,special,advanced,local,48
2014,Botany,Green Party,special,normal,local,160
2014,Botany,Green Party,special,advanced,overseas,40
2014,Botany,Internet MANA,ordinary,normal,local,118
2014,Botany,Internet MANA,ordinary,advanced,local,40
2014,Botany,Internet MANA,special,advanced,local,8
2014,Botany,Internet MANA,special,normal,local,34
2014,Botany,Internet MANA,special,advanced,overseas,4
2014,Botany,Labour Party,ordinary,normal,local,4238
2014,Botany,Labour Party,ordinary,advanced,local,1977
2014,Botany,Labour Party,special,advanced,local,310
2014,Botany,Labour Party,special,normal,local,910
2014,Botany,Labour Party,special,advanced,overseas,38
2014,Botany,Maori Party,ordinary,normal,local,43
2014,Botany,Maori Party,ordinary,advanced,local,15
2014,Botany,Maori Party,special,advanced,local,2
2014,Botany,Maori Party,special,normal,local,11
2014,Botany,Maori Party,special,advanced,overseas,0
2014,Botany,National Party,ordinary,normal,local,12284
2014,Botany,National Party,ordinary,advanced,local,5765
2014,Botany,National Party,special,advanced,local,392
2014,Botany,National Party,special,normal,local,1348
2014,Botany,National Party,special,advanced,overseas,227
2014,Botany,NZ First,ordinary,normal,local,1020
2014,Botany,NZ First,ordinary,advanced,local,595
2014,Botany,NZ First,special,advanced,local,46
2014,Botany,NZ First,special,normal,local,149
2014,Botany,NZ First,special,advanced,overseas,15
2014,Botany,NZ Independent Coalition,ordinary,normal,local,6
2014,Botany,NZ Independent Coalition,ordinary,advanced,local,2
2014,Botany,NZ Independent Coalition,special,advanced,local,1
